"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"The 2015 tax filing of Donald J. Trump's foundation offers new details about the president-elect’s charitable giving, which became the subject of intense scrutiny during his presidential campaign. On the filing, the charity checked “yes” to answer a question about whether its resources had been directed or used to benefit a “disqualified person” — meaning one of the organization’s central people.","https://www.nytimes.com/interactive/2016/11/22/us/politics/document-Trump-Foundation-Tax-Returns.html","The 2015 tax filing of Donald J. Trump's foundation offers new details about the president-elect’s charitable giving, which became the subject of intense scrutiny during his presidential campaign. On the filing, the charity checked “yes” to answer...","The 2015 tax filing of Donald J. Trump's foundation offers new details about the president-elect’s charitable giving, which became the subject of intense scrutiny during his presidential campaign. On the filing, the charity checked “yes” to answer a question about whether its resources had been directed or used to benefit a “disqualified person” — meaning one of the organization’s central people.",NA,NA,"The New York Times","2016-11-22T23:08:06+0000","multimedia","U.S.","U.S.","Interactive Feature","nyt://interactive/c03b00d9-bfba-5d5e-9a3e-7ee6e095b273",0,"nyt://interactive/c03b00d9-bfba-5d5e-9a3e-7ee6e095b273","Politics","Trump Foundation 2015 Tax Returns",NA,NA,"",NA,NA,NA,"",NA
"His meeting with The Times was a marvel of boasting and bending.","https://www.nytimes.com/2016/11/22/opinion/donald-trumps-demand-for-love.html","His meeting with The Times was a marvel of boasting and bending.","I had just shaken the president-elect’s normal-size hand and he was moving on to the next person when he wheeled around, took a half step back, touched my arm and looked me in the eye anew.","A","27","The New York Times","2016-11-23T00:13:52+0000","article","OpEd","Opinion","Op-Ed","nyt://article/2953c394-2f6e-5638-9483-507f9ab03c79",797,"nyt://article/2953c394-2f6e-5638-9483-507f9ab03c79",NA,"Donald Trump’s Demand for Love","Op-Ed Columnist",NA,"Trump’s Demand for Love",NA,NA,NA,"By Frank Bruni",NA
"Questions are being raised about whether Mr. Trump is exploiting the high profile of the presidency to conduct what could be seen as a promotional tour for the Trump Organization.","https://www.nytimes.com/2016/11/22/us/politics/trump-tower.html","Questions are being raised about whether Mr. Trump is exploiting the high profile of the presidency to conduct what could be seen as a promotional tour for the Trump Organization.","They stood in line at Trump Tower, sometimes up to half an hour, handing over their cash for mementos of the president-elect: mini, gold-wrapped chocolate bricks stamped “Trump.” Trump monogrammed sweaters, towels and glassware. Trump cologne.","A","17","The New York Times","2016-11-23T00:45:32+0000","article","National","U.S.","News","nyt://article/a6cef6fb-9416-5684-915c-585e9d22b2bd",1022,"nyt://article/a6cef6fb-9416-5684-915c-585e9d22b2bd","Politics","At Donald Trump’s Properties, a Showcase for a Brand and a President-Elect",NA,NA,"At Trump’s Properties, a Showcase for a Brand and a President-Elect",NA,NA,NA,"By Jeremy W. Peters",NA
"Publishing houses were caught off-guard by Donald Trump’s win on Election Day, and editors, agents and publishers are now racing to acquire works like memoirs and political analysis.","https://www.nytimes.com/2016/11/22/business/media/book-publishers-scramble-to-make-sense-of-trumps-rise-to-victory.html","Publishing houses were caught off-guard by Donald Trump’s win on Election Day, and editors, agents and publishers are now racing to acquire works like memoirs and political analysis.","In the summer of 2015, Katy Tur, a London-based foreign correspondent for NBC News, got a surprising offer from the network’s head of news coverage. Would she like to cover Donald J. Trump’s presidential campaign? He assured her that it would be a brief assignment — six weeks at the most.","A","16","The New York Times","2016-11-23T00:52:40+0000","article","Business","Business Day","News","nyt://article/19d52e12-04a5-5dd9-8d28-8905b25ab360",1000,"nyt://article/19d52e12-04a5-5dd9-8d28-8905b25ab360","Media","Book Publishers Scramble to Make Sense of Trump’s Rise to Victory",NA,NA,"Book Publishers Scramble to Make Sense of an Election Few Saw Going to Trump",NA,NA,NA,"By Alexandra Alter",NA
"The campaign is over, but the struggle for Trump’s soul has just begun.","https://www.nytimes.com/2016/11/22/opinion/at-lunch-donald-trump-gives-critics-hope.html","The campaign is over, but the struggle for Trump’s soul has just begun.","Well, that was interesting … Donald Trump came to lunch at The New York Times. You can find all the highlights on the news pages, but since I had the opportunity to be included, let me offer a few impressions of my first close encounter with Trump since he declared for the presidency.","A","27","The New York Times","2016-11-23T01:46:25+0000","article","OpEd","Opinion","Op-Ed","nyt://article/7d5211a1-1ad7-5d55-a7c5-cbc0c21716f6",895,"nyt://article/7d5211a1-1ad7-5d55-a7c5-cbc0c21716f6",NA,"At Lunch, Donald Trump Gives Critics Hope","Op-Ed Columnist",NA,"At Lunch, Trump Gives Critics Hope",NA,NA,NA,"By Thomas L. Friedman",NA
"It was alarming to confront how thinly thought through many of Mr. Trump’s stances actually are.","https://www.nytimes.com/2016/11/22/opinion/questioning-donald-trump.html","It was alarming to confront how thinly thought through many of Mr. Trump’s stances actually are.","It was good to hear Donald Trump “disavow and condemn” the white nationalism of some of his supporters, in a meeting Tuesday at The New York Times.","A","26","The New York Times","2016-11-23T01:57:59+0000","article","Editorial","Opinion","Editorial","nyt://article/03d798b1-de76-5a72-9772-28d009f011ac",482,"nyt://article/03d798b1-de76-5a72-9772-28d009f011ac",NA,"Questioning Donald Trump","Editorial",NA,"Questioning Donald Trump",NA,NA,NA,"By The Editorial Board","The Editorial Board"
"Our next president, conciliatory on policy and stubborn on potential corruption.","https://www.nytimes.com/2016/11/22/opinion/the-trump-revelations.html","Our next president, conciliatory on policy and stubborn on potential corruption.","Politicians lie; Donald Trump dissembles more frequently than most. So no matter how clever or tough or eloquent your questions, there are limits to what an hour or so in a room with him can actually establish.",NA,NA,"The New York Times","2016-11-23T02:24:13+0000","article","OpEd","Opinion","Op-Ed","nyt://article/f5422b93-c2c6-5665-86c2-c7016e329799",803,"nyt://article/f5422b93-c2c6-5665-86c2-c7016e329799",NA,"The Trump Revelations","Op-Ed Columnist",NA,"",NA,NA,NA,"By Ross Douthat",NA
"The choice of the former neurosurgeon suggested that Mr. Trump was seeking diversity in an administration that has started off predominantly white and male.","https://www.nytimes.com/2016/11/22/us/politics/donald-trump-close-to-picking-ben-carson-as-housing-secretary.html","The choice of the former neurosurgeon suggested that Mr. Trump was seeking diversity in an administration that has started off predominantly white and male.","WASHINGTON — Ben Carson, the retired neurosurgeon who ran an outsider’s campaign for the Republican presidential nomination and later backed Donald J. Trump, is likely to be chosen as secretary of housing and urban development, according to a person close to the Trump transition, suggesting that the president-elect is seeking diversity in an administration that has started off predominantly white and male.","A","18","The New York Times","2016-11-23T02:34:45+0000","article","National","U.S.","News","nyt://article/79f336ff-1eed-57ee-b89d-8f009f8c6521",990,"nyt://article/79f336ff-1eed-57ee-b89d-8f009f8c6521","Politics","Donald Trump Close to Picking Ben Carson as Housing Secretary",NA,NA,"Carson Is Said to Be Trump’s Likely Choice for Housing Secretary Post",NA,NA,NA,"By Mark Landler",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/22/briefing/wednesday-europe-briefing.html","Here’s what you need to know to start your day.","Good morning.",NA,NA,"The New York Times","2016-11-23T04:25:32+0000","article","NYTNow","Briefing","briefing","nyt://article/d3387576-3b14-5e86-9da9-8c338b538149",1095,"nyt://article/d3387576-3b14-5e86-9da9-8c338b538149",NA,"Donald Trump, Brad Pitt, Mosul: Your Wednesday Briefing","Europe Edition",NA,"",NA,NA,NA,"By Patrick Boehler",NA
"Read the full text of the president-elect’s meeting with reporters, editors and opinion columnists from The Times.","https://www.nytimes.com/2016/11/23/us/politics/trump-new-york-times-interview-transcript.html","Read the full text of the president-elect’s meeting with reporters, editors and opinion columnists from The Times.","Following is a transcript of President-elect Donald J. Trump’s interview on Tuesday with reporters, editors and opinion columnists from The New York Times. The transcription was prepared by Liam Stack, Jonah Engel Bromwich, Karen Workman and Tim Herrera of The Times. More on the Trump transition here.",NA,NA,"The New York Times","2016-11-23T05:31:53+0000","article","National","U.S.","Text","nyt://article/a2a343a7-1954-5506-9775-ca622ca019f4",11835,"nyt://article/a2a343a7-1954-5506-9775-ca622ca019f4","Politics","Donald Trump’s New York Times Interview: Full Transcript",NA,NA,"",NA,NA,NA,"By The New York Times","The New York Times"
"In every presidential race, there are early and fierce endorsers of the winning candidate who are then viewed, postelection, as having more influence.","https://www.nytimes.com/2016/11/23/us/politics/donald-trumps-early-backers-in-state-government-may-see-rewards.html","In every presidential race, there are early and fierce endorsers of the winning candidate who are then viewed, postelection, as having more influence.","In Maine, where Gov. Paul R. LePage backed Donald J. Trump’s campaign for the presidency, some political observers are wondering if the state will soon see results from that. Might Mr. Trump lend his support, for instance, to reversing a recent federal parkland designation that Mr. LePage strongly opposed?","A","14","The New York Times","2016-11-23T10:00:47+0000","article","National","U.S.","News","nyt://article/8d616697-7969-5c8d-9e72-40a3ae1c8c3a",981,"nyt://article/8d616697-7969-5c8d-9e72-40a3ae1c8c3a","Politics","Donald Trump’s Early Backers in State Government May See Rewards",NA,NA,"First Support May Bring Rewards From Trump",NA,NA,NA,"By Monica Davey",NA
"President-elect Donald J. Trump has chosen Gov. Nikki Haley of South Carolina to be ambassador to the United Nations.","https://www.nytimes.com/2016/11/23/us/politics/donald-trump-transition.html","President-elect Donald J. Trump has chosen Gov. Nikki Haley of South Carolina to be ambassador to the United Nations.","President-elect Donald J. Trump has reached into Western Michigan royalty to pick Betsy DeVos as his education secretary and is looking at Ben Carson to head the Department of Housing and Urban Development. Meantime, Hillary Clinton has widened her lead in the popular vote to 1.5 percentage points, a spread not seen for a losing candidate since the disputed election of 1876.",NA,NA,"The New York Times","2016-11-23T10:00:47+0000","article","National","U.S.","News","nyt://article/f1a74ca2-3599-5c7b-9c1f-c57c90e90e1d",1751,"nyt://article/f1a74ca2-3599-5c7b-9c1f-c57c90e90e1d","Politics","In Betsy DeVos for Education, Trump Taps Into Michigan Royalty","Transition Briefing",NA,"",NA,NA,NA,"By Vanessa Friedman, Maggie Haberman and Alan Rappeport",NA
"Here’s what you need to know to start your day.","https://www.nytimes.com/2016/11/23/briefing/us-briefing-donald-trump-global-warming-facebook.html","Here’s what you need to know to start your day."," (Want to get this briefing by email? Here’s the sign-up.)",NA,NA,"The New York Times","2016-11-23T10:47:39+0000","article","NYTNow","Briefing","briefing","nyt://article/725bd32a-603f-5079-891b-dc15519d1690",1063,"nyt://article/725bd32a-603f-5079-891b-dc15519d1690",NA,"Donald Trump, Global Warming, Facebook: Your Wednesday Briefing",NA,NA,"",NA,NA,NA,"By Sean Alfano",NA
